Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRM11,OUT035,4221.835489916181
NCH07,OUT018,2201.4292344454243
FDS23,OUT013,2043.0848798731595
FDO49,OUT018,625.3676473492721
FDS35,OUT049,1098.3095880942453
DRK39,OUT045,1219.0773981646648
DRI39,OUT049,930.6850874015856
FDV04,OUT017,2658.8831478530146
NCN14,OUT035,2972.859330523929
FDH08,OUT013,3712.866172536902
FDS20,OUT046,2978.866154495071
FDV40,OUT049,1271.2907805784444
FDZ48,OUT010,-94.88419062152599
FDS24,OUT027,2936.032610303261
FDK44,OUT049,2828.504495438824
FDS48,OUT045,2398.902742555263
FDK26,OUT010,1189.1275585513804
FDD23,OUT045,3086.528248751567
NCH54,OUT017,2700.8943765416343
NCP14,OUT010,-229.60633023101218
FDM60,OUT010,-1139.6430047317217
FDV24,OUT017,2609.212641270273
FDH08,OUT018,3386.120505333013
FDS12,OUT027,3484.9740600286686
FDR39,OUT027,4321.3472926819195
FDP12,OUT027,2148.2563290446533
DRF60,OUT027,5145.51286501228
FDC09,OUT035,1824.0891743819705
FDF50,OUT018,2911.8684948794335
FDG28,OUT035,3963.7460852130043
NCE19,OUT017,1052.3659758245287
NCM53,OUT010,-167.29557172587397
NCN18,OUT049,1844.5424227043748
FDF32,OUT035,3272.9282762813773
FDF11,OUT013,3953.715228956541
DRI59,OUT049,3656.985215913357
NCG54,OUT035,2759.852939666688
FDM44,OUT046,1712.3646808206286
FDT57,OUT018,3474.09875582891
FDV24,OUT046,2482.1076018544018
FDI50,OUT019,1791.5791476946501
FDS09,OUT035,998.0769158132592
NCC31,OUT027,3894.5564866921077
FDQ07,OUT019,1590.3067216631252
FDC22,OUT017,3233.4035124656984
FDZ56,OUT046,2764.9785858420764
FDZ40,OUT019,-1036.8993801390363
FDS46,OUT027,3394.6761189063527
DRD24,OUT045,2160.512786736236
FDV45,OUT017,3175.8359980895966
FDL26,OUT045,2467.6674208467866
FDA56,OUT018,1742.3020429189917
FDN27,OUT046,1947.9343310816223
FDM20,OUT049,3967.6810650760326
FDO16,OUT017,1509.3393543916513
FDL03,OUT035,3252.766568552367
FDE58,OUT046,1923.1896028890917
FDI02,OUT027,3317.7282124734547
NCC55,OUT019,-1283.904659239785
FDR03,OUT018,3043.2148822103036
FDB14,OUT017,1724.9714285902394
FDR45,OUT013,3841.3107353772457
NCN07,OUT017,2243.5739035245597
FDM51,OUT019,-195.29805298440624
FDT52,OUT027,5320.307182733367
FDL26,OUT046,2539.2574772808202
NCZ42,OUT046,3806.331881289274
DRI47,OUT019,454.8778745600781
FDW40,OUT013,2249.528918305924
FDN34,OUT046,2791.913547190714
FDS01,OUT035,3004.0651355324717
NCG55,OUT045,1784.4710710361126
FDC11,OUT035,1584.0612815857442
FDX35,OUT018,3313.9026478918986
NCB06,OUT046,2564.7444362587285
FDR09,OUT019,2183.1632982381284
FDC53,OUT017,1726.1319941754944
FDY45,OUT013,4064.0705585430233
FDA22,OUT010,887.581513581928
FDE02,OUT035,1678.7500141323633
FDW21,OUT045,1647.6070943682291
FDV34,OUT046,1308.7717849922788
FDS59,OUT049,1830.1917402637857
NCW17,OUT017,2207.6869421826623
NCK54,OUT046,1904.735390443376
FDG17,OUT019,1958.5453889840974
FDG35,OUT017,3065.6470069169063
FDD08,OUT010,-1196.9469975093066
NCO07,OUT017,3528.4721066913426
FDJ10,OUT010,392.6785092023659
FDW36,OUT017,1883.191364780442
FDW21,OUT010,-169.69432866046395
FDY19,OUT017,2081.8836038058153
DRE03,OUT013,723.808717446623
NCC55,OUT049,686.9453383711627
FDH52,OUT010,-826.380354981538
FDO09,OUT017,4359.32427499871
FDU43,OUT045,3777.0701707392136
FDX09,OUT010,901.702345183021
FDH40,OUT019,-574.2088134204931
FDW58,OUT017,1866.6151142163233
FDC47,OUT017,3743.965411258836
NCR41,OUT035,1622.3228652187086
DRG49,OUT035,3930.7509164802914
FDC52,OUT027,3844.26256545662
FDY13,OUT046,1324.4934835089196
FDY35,OUT013,773.4883065477802
FDI35,OUT017,3163.1543391553914
NCU18,OUT049,2288.6114041286146
FDY33,OUT018,2271.9311453216706
FDC15,OUT027,3830.6587326594918
FDU01,OUT049,3117.992113944996
NCU42,OUT046,2726.9526320472114
NCV29,OUT018,2544.2834510163384
NCY30,OUT017,3040.458258336931
FDQ46,OUT049,1866.975153223601
FDG58,OUT027,3930.9813291360524
FDK33,OUT017,3561.2965123742097
NCD07,OUT045,1780.7713756559413
NCX29,OUT027,3727.3823796884726
NCT42,OUT013,2371.2255239612696
DRN59,OUT035,891.1665738428056
FDI44,OUT035,1394.0589574541798
FDA45,OUT049,2854.2652394128663
FDP31,OUT045,1035.0785842387702
FDY01,OUT046,1938.7185773301112
FDT09,OUT018,1902.5856330248635
DRH03,OUT027,2920.3496622729763
FDA36,OUT018,2749.247733091169
NCF31,OUT017,2589.5452555065576
FDG14,OUT049,2569.755018790296
FDG28,OUT027,5328.961990269675
FDU14,OUT049,3930.830170393833
FDY47,OUT019,195.13143747022093
FDI56,OUT049,1548.022639816482
DRD01,OUT013,943.2610463097137
FDM22,OUT046,1016.467009897961
FDH33,OUT013,715.0997531240639
DRZ24,OUT013,1872.9595903359186
NCQ38,OUT046,1743.139182247675
FDO16,OUT027,2796.9921584038057
FDU07,OUT027,3851.28771548831
NCB07,OUT013,3049.2485917909617
FDU48,OUT045,2087.6802936678923
NCM43,OUT045,2580.122804988665
FDR31,OUT010,487.7995827778191
DRK49,OUT018,386.1211465211925
NCI30,OUT010,1932.3158872856097
DRD60,OUT017,3006.3086722513162
NCG19,OUT046,3685.821791330991
FDH12,OUT035,1825.0478089923815
FDM32,OUT035,1613.074368106846
FDM27,OUT035,2600.9589308334653
NCU53,OUT027,4092.1826329134174
NCQ18,OUT046,1579.9622283861058
FDS10,OUT013,2865.29431481541
FDB33,OUT027,3995.1093069276285
FDI12,OUT013,1466.4720864130015
NCW42,OUT013,3476.5437304934367
NCC06,OUT018,1752.7577566365994
FDW02,OUT017,2155.0313883561976
NCD43,OUT017,1839.6566795792871
FDM57,OUT018,1109.7512626003975
FDA58,OUT017,3907.8480608214304
FDK56,OUT046,2983.2862717673806
FDP52,OUT045,3614.339030067561
FDW20,OUT018,1733.2672116812219
FDS52,OUT049,1676.4376300262695
NCT29,OUT018,1628.7704460607642
NCL54,OUT013,2779.1479806786447
FDC05,OUT045,3074.8668071017883
FDF34,OUT035,3285.928812815133
FDP03,OUT027,3489.476227336171
FDD32,OUT010,-475.8379749903627
FDZ10,OUT045,2011.490153339629
FDZ40,OUT035,983.2611134522534
FDD51,OUT018,359.44507599486883
NCY30,OUT019,928.1555577320262
FDP58,OUT017,3599.0933376825087
FDV49,OUT017,4405.3860013530575
FDY24,OUT019,-1018.6461642617419
NCO55,OUT017,1876.3466011434487
FDR13,OUT017,2141.976967017549
FDS51,OUT017,1214.7363844931442
FDP26,OUT045,1530.256525140077
NCB54,OUT027,3505.6554757672047
FDF32,OUT017,3307.1134837531463
FDN31,OUT018,2743.1094950301595
DRM48,OUT017,723.5214787996811
FDN20,OUT049,2776.6399865305875
DRL01,OUT046,3730.9243682601946
FDV56,OUT049,1859.1448462738624
DRH13,OUT027,3154.284067984845
FDA03,OUT017,2437.8898587667927
FDF47,OUT027,5079.676508174278
FDX32,OUT046,2417.609122554121
FDX57,OUT049,1662.8816896002584
NCA30,OUT045,2903.4497041299173
FDO49,OUT013,919.490159240768
FDL04,OUT019,-286.30273719126376
DRM48,OUT035,676.9936009403787
FDR16,OUT013,3368.308504400353
NCC19,OUT018,2742.151600661012
NCE42,OUT045,3641.991864797701
FDY24,OUT017,1134.3455196337989
FDH19,OUT049,2864.7128467634648
FDJ46,OUT013,2785.2744376571773
FDN45,OUT010,1624.0511689281125
FDY08,OUT035,2359.740996114132
FDZ37,OUT035,1615.7632018618494
NCT30,OUT045,710.0215670896391
DRY23,OUT018,412.5448721297819
NCZ30,OUT018,1664.612148126553
FDC44,OUT018,1521.5443327432454
FDB45,OUT035,1813.5790939673277
FDY04,OUT013,2609.398588852193
FDM27,OUT046,2642.148307306349
FDZ43,OUT017,4038.8105347166884
FDT39,OUT019,568.601369363651
NCC06,OUT019,105.55375649522625
FDL15,OUT027,3914.134513227099
FDL57,OUT017,4266.934628705314
FDU08,OUT046,1675.2381178315352
FDK40,OUT017,4322.809620577365
FDQ12,OUT010,1781.0385275456229
FDS48,OUT017,2620.1833863052134
FDP09,OUT045,3311.313086023577
FDW21,OUT049,1735.782244280181
FDY25,OUT035,3039.9378048066565
DRE13,OUT017,1537.3136731925417
FDV43,OUT019,-1178.2017054024188
FDD22,OUT045,1742.2490814209125
FDM46,OUT019,-468.95429350524296
NCO30,OUT010,1030.3974039758705
FDM25,OUT046,2873.3622662305897
NCN41,OUT049,2014.6191514802206
FDU24,OUT045,1505.2869743583901
FDZ50,OUT046,2901.9146103826915
FDP45,OUT013,4030.694642094246
NCM54,OUT045,1932.608772770114
FDW10,OUT019,872.9373157684752
FDP20,OUT017,2233.3781120901776
FDK32,OUT046,2505.8125745018206
FDN52,OUT049,1465.8003835420268
FDM58,OUT045,1790.8560334469623
FDZ46,OUT027,3235.690405834429
NCA18,OUT018,1577.2833605722046
FDD35,OUT046,2114.3478157690006
NCK31,OUT035,939.9262951742122
FDI40,OUT027,3047.0065979395913
FDT50,OUT019,-415.1117951393161
NCT06,OUT046,2633.314709410274
FDT31,OUT035,3113.021983977076
FDT45,OUT049,952.8519526666785
FDT13,OUT045,2979.6115374232404
FDO50,OUT045,1460.7675240227884
NCU18,OUT010,326.7838136480519
NCR54,OUT049,3108.2855083689046
NCO18,OUT018,2534.407179321808
FDU09,OUT045,929.1806212044622
FDT13,OUT018,2760.8751224894313
FDE09,OUT046,1889.879545670868
NCK53,OUT019,-283.2759783552019
FDG45,OUT049,3491.550116822609
DRH15,OUT035,766.8415963264122
FDO21,OUT019,1702.7714183989715
FDD14,OUT027,4383.627500550778
FDC09,OUT046,1763.7505839010175
FDH45,OUT027,2220.7063734007916
FDV32,OUT046,1133.414458403493
FDG12,OUT035,2110.906259664772
FDS32,OUT013,2312.4923642751214
NCL55,OUT018,3680.633896958897
DRE01,OUT035,3872.103493336963
DRE15,OUT049,1251.32205664147
NCL42,OUT045,3813.650503535867
FDP31,OUT013,1074.827467121717
FDN33,OUT018,1264.7323140074534
FDZ59,OUT046,2725.9962882892023
FDE45,OUT010,977.8427305816335
FDJ07,OUT013,1952.9743487187695
FDQ45,OUT018,2714.617981720805
FDM33,OUT027,4913.672638101804
FDO15,OUT010,-580.8347735146015
FDM46,OUT013,1491.200946556715
FDR03,OUT045,3266.6083911788583
FDY49,OUT018,2465.082339293205
FDQ60,OUT045,1913.929328354622
FDW10,OUT049,2878.6511623181323
FDO51,OUT049,879.775968272742
FDJ40,OUT018,1475.8170808290483
FDS20,OUT018,2646.547478479167
FDU45,OUT013,1867.545029007985
FDV02,OUT035,2706.255008169209
FDN09,OUT046,3883.945809440129
NCM55,OUT027,4401.8805709779035
FDN23,OUT018,2041.9286375114564
FDY31,OUT010,469.8003075303371
FDW03,OUT010,-94.1050086259599
FDD14,OUT046,2952.6242788939026
FDV23,OUT017,2141.406622186204
DRI03,OUT045,2679.3183445937057
FDN13,OUT035,1697.1361672718897
FDF45,OUT027,2511.4623862238195
FDU46,OUT035,1585.1759373637299
FDB57,OUT049,3640.6811722301445
FDV12,OUT049,1755.8601744405216
FDQ58,OUT013,2455.6504676038485
NCA18,OUT017,2004.1568733504394
FDH52,OUT049,1103.5145643010653
FDM24,OUT018,2187.116191855012
NCP43,OUT027,4329.147564522575
NCO18,OUT019,880.3396308046042
FDM32,OUT017,1670.6834433690117
NCL07,OUT017,820.0481136522029
FDK03,OUT013,3955.4952905555747
FDP59,OUT017,1813.4318213732524
FDQ24,OUT049,4072.1660648925454
FDQ16,OUT018,1448.1489823623956
FDU44,OUT013,2628.9331190954135
FDH28,OUT010,-1265.0668800860713
FDV28,OUT019,-1364.089111297051
FDM22,OUT045,890.6724790896167
FDR56,OUT046,3187.8201178992203
FDV39,OUT049,3218.8826734954637
FDU37,OUT019,-546.4875491299858
FDQ11,OUT010,2212.5179240372136
FDX02,OUT045,3395.0711842389173
NCS42,OUT018,1193.2347270953312
FDY57,OUT027,2999.1844444456847
FDB21,OUT049,3882.6761337463013
FDE28,OUT017,3779.6709856156685
FDQ55,OUT017,2061.243041368516
FDA48,OUT049,3599.330498839945
FDZ19,OUT045,2738.586950252229
NCC43,OUT045,3896.008978557119
NCV18,OUT046,1336.6453182415937
NCA42,OUT018,2243.8973386472508
FDY45,OUT046,4100.451445015523
NCC30,OUT045,2761.749656640097
FDM57,OUT013,1438.1566469453373
FDL09,OUT010,752.0183336218868
FDB09,OUT027,3472.306951203167
FDT44,OUT035,2011.3098847576982
NCT06,OUT027,4038.29964525174
FDX26,OUT049,2872.12665787456
FDK32,OUT013,2508.0775997620012
DRA12,OUT046,2290.922482767295
FDO46,OUT010,1165.3859496731025
FDE52,OUT013,1384.9290199921043
NCH42,OUT045,3572.200991885029
FDV08,OUT035,858.7335459880251
FDB47,OUT018,3067.283724341947
FDC28,OUT010,-135.06986115571016
FDD22,OUT046,1868.2774560684315
FDS07,OUT027,3308.3482102632324
DRI13,OUT045,3348.907454863226
FDG32,OUT018,3218.19270826716
FDU14,OUT017,4036.793995971282
FDD28,OUT019,-969.7299465863482
NCP41,OUT017,1925.8724371219544
FDS08,OUT049,2879.5622158740507
FDX47,OUT045,2482.296443467031
FDC53,OUT019,-293.6860280174094
FDQ19,OUT035,3993.224740652173
FDL14,OUT045,2517.5751668620587
FDM33,OUT019,1574.7878853814136
FDA51,OUT045,1686.668326710627
FDZ27,OUT018,477.77422891631477
FDT04,OUT046,685.8203689965474
DRC13,OUT049,2071.957038917496
FDR16,OUT027,4829.8906160319575
FDQ03,OUT027,5221.413846340314
FDE38,OUT035,2837.5313028796872
DRH23,OUT027,2375.1505940388397
FDT11,OUT019,1091.6346775879063
FDD09,OUT035,2992.053273720766
FDR40,OUT045,1308.8011479317242
FDX07,OUT017,3140.6774793853465
FDR07,OUT035,1673.6646120133357
FDA51,OUT017,1922.619865189745
FDT59,OUT019,1727.6852299345687
FDF20,OUT017,3293.2442738474574
FDR13,OUT045,1893.4063142920156
FDY26,OUT049,3340.361583483059
FDW04,OUT017,2252.5955360294292
FDK52,OUT017,3706.1738420580477
FDN60,OUT049,2584.2687740760584
FDM09,OUT019,827.3954202096647
FDP46,OUT049,1488.1645738138025
FDB50,OUT019,-631.6801265824438
NCQ29,OUT049,4117.1414912494
FDP16,OUT027,5296.9643296008735
FDX33,OUT018,2313.6062910374926
FDP07,OUT010,1259.165365328764
FDN22,OUT046,4010.5777874451123
FDF39,OUT049,4160.660775792247
FDS21,OUT017,1216.5310865962997
NCM42,OUT013,1729.8054803720104
FDK50,OUT019,759.1588906253353
DRF13,OUT027,3761.88091268031
FDH35,OUT018,2427.142056189771
FDP60,OUT018,1357.5255054289603
DRJ49,OUT027,3506.7453573133043
NCT42,OUT019,442.8269848783809
FDE38,OUT049,2796.91409061202
FDI04,OUT049,3205.365156676605
NCH54,OUT045,2424.3953397633095
FDT56,OUT049,1070.3873283034845
DRD15,OUT018,3315.737890734411
FDV58,OUT013,3104.374415971978
FDP21,OUT049,3094.35245138164
FDH05,OUT013,3678.6738067696306
FDR10,OUT027,4046.008460599347
NCP06,OUT045,2294.0407495298778
FDF33,OUT049,2014.3497473028458
DRK37,OUT013,2993.7533955418758
DRH49,OUT045,1286.5133276259699
FDT58,OUT013,2681.379007456824
FDD41,OUT018,1403.2001055242956
FDP40,OUT018,1519.7228641207166
FDM51,OUT027,3148.261942599923
FDO45,OUT010,-432.8206546248605
FDW33,OUT010,-184.85113505815957
FDY24,OUT045,950.4218179283338
FDB10,OUT010,1871.0583381423517
FDM40,OUT035,2299.2848161971315
NCI06,OUT017,3014.715264796275
FDW12,OUT019,460.7735405838398
FDX48,OUT027,3991.511285360709
NCW05,OUT027,3125.718543664534
FDX27,OUT017,1624.5491619770112
DRM37,OUT045,3030.660932730236
FDA38,OUT045,3703.0776840360304
FDR36,OUT046,778.9495598667881
FDZ45,OUT046,3196.3618472830412
FDG05,OUT017,2683.6019838968123
FDK28,OUT013,4068.403813130947
FDV47,OUT045,1309.2975881733591
FDN21,OUT045,2495.5679281598013
FDP20,OUT027,3513.853612667879
FDI35,OUT045,2942.587129924219
DRY23,OUT013,725.4617600710853
FDA56,OUT017,2183.196340607077
FDB09,OUT013,2007.1248607849618
NCO26,OUT027,3294.660923434709
FDQ49,OUT018,2279.0717119712576
FDI52,OUT027,3361.1408665460804
FDZ44,OUT027,3365.2344163187836
FDZ09,OUT018,2321.883779041747
FDY03,OUT049,1915.7090861525026
NCG42,OUT017,2212.9264796318394
DRI13,OUT027,4870.900723808103
FDQ32,OUT013,2079.988596286177
FDW16,OUT035,1576.2693699477752
FDU27,OUT046,830.534929460104
FDR28,OUT010,720.198577932232
FDQ49,OUT010,696.6715276897767
FDS37,OUT046,1977.237884875909
FDW26,OUT018,3144.1356300057214
FDX12,OUT018,3602.63362048607
NCP06,OUT013,2380.3062246472173
FDW45,OUT010,440.58196221886107
NCN30,OUT049,1571.5728411748248
FDN24,OUT049,961.1585991300583
NCL41,OUT027,2009.6516852964198
FDR02,OUT019,-211.31404573849807
FDD09,OUT010,1027.6150482486296
FDS33,OUT010,-396.959623906469
FDU22,OUT045,1863.1187144746198
FDI53,OUT013,2577.3825637563104
DRH01,OUT049,2793.076820278422
FDX32,OUT013,2334.3745779293113
NCP30,OUT018,366.83168021437973
FDB60,OUT045,3104.0521769046863
FDB14,OUT049,1633.1030213226743
NCP02,OUT035,1047.4784549938868
FDJ10,OUT017,2438.0273087517326
FDG34,OUT046,1885.771625692292
NCB18,OUT017,1558.0221156835112
FDM16,OUT049,1293.9925658485313
FDW25,OUT018,1161.2665315815273
FDB35,OUT010,-275.1223782073498
DRN11,OUT013,2290.3578630954885
FDF41,OUT019,1926.0516069524638
FDH16,OUT045,1350.5388974298207
NCQ50,OUT018,3054.7643116739946
DRH23,OUT018,647.452364873147
DRJ37,OUT013,2395.6877381978784
DRJ24,OUT027,4319.917274492749
FDY16,OUT035,2993.520021092886
FDQ27,OUT045,1707.2754093885849
FDZ33,OUT045,2312.1065033952336
FDF29,OUT045,2059.803184112201
FDA08,OUT049,2721.383230003041
FDG31,OUT046,1151.8573467694644
FDE34,OUT019,1043.0258924238299
NCR30,OUT027,2619.212268673782
FDV33,OUT035,4234.034792162566
DRZ24,OUT018,1639.9033675043647
NCL54,OUT035,2820.1121508145607
FDR12,OUT049,2889.366070714823
NCC54,OUT046,3826.490280772259
DRN59,OUT013,825.455883717917
FDX50,OUT019,-232.0275398590178
FDV31,OUT027,4288.229027229731
NCA29,OUT027,4175.04440502492
FDW60,OUT049,2967.33645838784
FDX08,OUT017,3100.5449962450766
DRD49,OUT013,3672.7186576538506
FDD33,OUT046,3702.7566908424114
FDW35,OUT013,724.6772445847789
FDJ36,OUT017,1867.7448015174202
FDV51,OUT035,2767.2865680168334
FDW36,OUT046,1794.8608720758104
FDH35,OUT046,2767.2443442297727
NCS30,OUT027,3500.475121570549
FDN49,OUT017,857.9484574549709
FDL08,OUT018,3636.7976475896594
FDI09,OUT013,4016.23832276188
FDP19,OUT018,1778.0881913498404
FDU21,OUT010,-1283.6631521798236
NCP41,OUT045,1675.7303508212651
FDY10,OUT013,1828.5187480243164
FDP12,OUT018,423.8102367881861
NCN26,OUT049,1910.7084703491748
FDK44,OUT013,2780.016968834275
FDC28,OUT049,1795.4514272726735
FDJ41,OUT027,5580.931397870287
NCT29,OUT035,2066.535366167417
NCH42,OUT019,1680.1775529686502
FDU60,OUT018,2436.7459424752224
FDS02,OUT045,2932.9769355202116
FDC51,OUT046,1986.6995072228408
FDU03,OUT013,2939.0104780121183
FDX39,OUT045,3347.992051434854
NCY05,OUT010,-1273.3016736709667
NCL06,OUT027,5513.736362620797
FDD32,OUT035,1477.2772894466104
NCN41,OUT045,1896.8944216300245
NCX53,OUT049,2313.338688253546
FDU57,OUT019,498.43429429358685
FDQ23,OUT046,1715.560843552639
FDQ52,OUT045,3817.054438654638
FDC14,OUT045,720.1730987287519
FDY09,OUT035,2927.52521220194
FDQ28,OUT045,2437.4527246092375
FDV25,OUT046,3605.879628131346
FDJ07,OUT035,2007.9479774283257
DRB25,OUT049,1728.15622758896
FDK52,OUT019,1604.2328962962438
FDY52,OUT027,2475.30606724914
FDB28,OUT046,3091.650897911857
FDT36,OUT035,739.3339492057698
FDV25,OUT017,3748.6521544683956
NCN07,OUT027,3539.017368935115
FDC57,OUT017,3279.7949572219486
FDQ03,OUT018,3499.694272718393
FDU23,OUT017,2814.49692816071
NCX41,OUT035,3458.683786856579
NCD06,OUT035,841.9269401498775
FDW08,OUT045,1657.9268644048304
NCU29,OUT017,2488.479071266932
NCE06,OUT013,2543.6428838297707
FDV52,OUT010,-46.704768394074506
FDB02,OUT017,3074.8253335031095
NCR18,OUT045,652.1513421709615
FDK16,OUT049,1585.0056861034632
NCQ29,OUT010,2151.1816152530937
FDZ01,OUT019,-127.66418003123408
FDW27,OUT035,2628.35899268459
FDD17,OUT018,3465.208835232709
FDW39,OUT013,2884.4282822976074
DRH59,OUT045,1160.1497805153317
FDS52,OUT013,1646.5059364727078
FDU40,OUT027,4518.184778378638
NCF54,OUT013,2737.6532474139676
FDH46,OUT045,1663.2404831684041
NCP14,OUT049,1691.1999336093932
FDH50,OUT049,3106.438964782107
DRF15,OUT010,480.9407670783358
FDV27,OUT027,2922.106175799563
NCJ06,OUT049,1957.9058047655021
FDN02,OUT018,3016.9856507062486
FDQ51,OUT049,895.6207885586789
FDQ07,OUT017,3733.5637101180373
FDS45,OUT049,1822.6656602733397
NCJ06,OUT045,1857.2871297466716
FDD36,OUT035,2032.0685633572177
FDY25,OUT045,2908.037738178081
FDU52,OUT046,2484.1908298917133
DRK47,OUT017,3784.232833850021
NCL30,OUT017,2188.5086773760713
